timestamp,rssi,rate,channel,bandwidth,data_length,esp_timestamp,csi_data
2025-06-13T02:47:11.690091,-63,11,11,0,128,255726,"[82, 33, 21, 0, 7, -19, 7, -18, 7, -17, 6, -17, 4, -17, 4, -17, 4, -16, 3, -15, 2, -14, 1, -15, -1, -15, -2, -15, -2, -14, -2, -15, -1, -15, -1, -15, 0, -15, 1, -15, 2, -14, 3, -13, 4, -12, 4, -10, 4, -10, 4, -9, 5, -8, 1, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -10, 1, -10, 2, -11, 3, -11, 4, -12, 5, -13, 7, -13, 9, -13, 10, -12, 11, -11, 11, -11, 11, -11, 10, -11, 10, -11, 9, -11, 9, -12, 9, -12, 8, -13, 8, -14, 7, -15, 8, -16, 8, -17, 8, -17, 7, -18, 7, -19, 6, -19]"
2025-06-13T02:47:11.767413,-61,11,11,0,128,322677,"[45, -48, 2, 0, 2, -24, 1, -23, 1, -21, 1, -21, 0, -20, -1, -20, -2, -19, -3, -18, -5, -17, -6, -16, -6, -16, -7, -17, -8, -17, -7, -16, -7, -17, -7, -17, -6, -17, -4, -17, -3, -17, -2, -16, 0, -15, 0, -13, 0, -12, 1, -12, 3, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11, -1, -12, 0, -12, 1, -14, 1, -14, 3, -16, 5, -16, 6, -17, 8, -16, 8, -16, 8, -16, 8, -16, 8, -16, 7, -16, 8, -16, 7, -16, 7, -17, 4, -17, 5, -18, 4, -18, 4, -20, 3, -21, 2, -21, 1, -23, 1, -24, 1, -25]"
2025-06-13T02:47:11.785739,-59,11,11,0,128,364892,"[82, 33, 21, 0, 22, -7, 20, -6, 21, -7, 19, -7, 18, -8, 17, -9, 16, -9, 14, -10, 14, -10, 14, -10, 13, -11, 12, -11, 11, -12, 12, -13, 12, -13, 13, -13, 13, -11, 13, -11, 14, -9, 13, -7, 12, -7, 12, -4, 12, -3, 11, -2, 11, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, -5, 10, -4, 11, -4, 11, -3, 13, -3, 14, -2, 16, -1, 17, 0, 17, 1, 18, 4, 17, 6, 16, 6, 16, 5, 16, 4, 15, 3, 17, 2, 16, 1, 17, 0, 17, -1, 18, -3, 19, -4, 19, -6, 21, -5, 22, -5, 22, -4, 22, -5]"
2025-06-13T02:47:11.840359,-61,11,11,0,128,418702,"[-91, 80, 10, 0, -2, -25, -2, -24, -3, -22, -3, -21, -4, -21, -4, -20, -5, -19, -6, -18, -8, -17, -9, -16, -9, -16, -10, -16, -11, -16, -10, -16, -10, -17, -10, -16, -9, -16, -7, -17, -5, -17, -4, -16, -2, -15, -2, -14, -1, -12, 0, -13, 1, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -12, -4, -12, -3, -13, -2, -14, -2, -15, -1, -16, 1, -17, 2, -19, 5, -19, 4, -18, 5, -18, 5, -18, 6, -17, 5, -18, 5, -18, 4, -18, 3, -18, 2, -18, 1, -18, 1, -19, -1, -21, 0, -22, -3, -23, -4, -23, -3, -25, -3, -25]"
2025-06-13T02:47:11.858336,-60,11,11,0,128,463083,"[37, 80, 2, 0, -18, 16, -15, 14, -17, 15, -14, 13, -14, 14, -12, 14, -12, 13, -9, 13, -9, 14, -8, 14, -8, 14, -7, 14, -6, 14, -5, 17, -5, 14, -7, 17, -7, 14, -8, 14, -9, 13, -10, 10, -9, 10, -10, 8, -10, 7, -9, 6, -10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 9, -7, 8, -8, 8, -9, 7, -11, 9, -11, 8, -14, 8, -15, 7, -16, 7, -19, 4, -18, 3, -17, 3, -17, 3, -16, 4, -15, 4, -17, 6, -14, 6, -16, 8, -15, 8, -16, 10, -16, 11, -15, 13, -18, 13, -18, 14, -17, 14, -17, 13]"
2025-06-13T02:47:11.875774,-60,11,11,0,128,504528,"[-119, -112, 8, 0, 11, 21, 11, 21, 11, 19, 11, 18, 11, 17, 11, 16, 12, 14, 12, 13, 13, 11, 13, 11, 14, 10, 14, 10, 15, 9, 15, 9, 15, 10, 15, 10, 15, 11, 13, 12, 11, 12, 10, 12, 8, 11, 6, 11, 6, 11, 5, 10, 3, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 7, 9, 6, 10, 6, 11, 6, 13, 6, 14, 5, 16, 4, 18, 2, 18, 1, 18, 0, 19, 0, 18, 0, 18, 0, 17, 2, 17, 2, 18, 3, 18, 4, 17, 5, 18, 7, 18, 8, 19, 9, 19, 10, 20, 11, 20, 11, 21, 12, 21]"
2025-06-13T02:47:11.897552,-60,11,11,0,128,542848,"[82, 33, 21, 0, 2, 24, 3, 24, 3, 22, 3, 22, 4, 21, 4, 20, 5, 18, 6, 17, 7, 16, 8, 15, 9, 15, 9, 15, 10, 15, 10, 15, 10, 15, 10, 16, 9, 17, 7, 17, 5, 16, 3, 15, 2, 15, 1, 13, 0, 13, -1, 12, -2, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 4, 12, 2, 12, 2, 13, 1, 14, 1, 16, -1, 18, -2, 18, -4, 19, -6, 18, -6, 18, -7, 18, -6, 18, -6, 18, -5, 18, -4, 17, -4, 18, -2, 18, -2, 20, 0, 20, 0, 21, 1, 22, 2, 22, 3, 24, 3, 25, 3, 25]"
2025-06-13T02:47:11.929438,-60,11,11,0,128,589701,"[82, 33, 21, 0, -32, 3, -30, 3, -29, 3, -28, 3, -26, 4, -25, 4, -24, 6, -23, 7, -22, 8, -21, 9, -20, 11, -20, 11, -20, 12, -20, 12, -20, 13, -21, 13, -22, 11, -21, 9, -21, 6, -20, 4, -19, 2, -17, 2, -17, 1, -16, -1, -16, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, 5, -15, 3, -16, 1, -17, 1, -19, 0, -20, -2, -23, -4, -23, -5, -23, -7, -23, -9, -22, -9, -22, -11, -22, -10, -22, -8, -22, -8, -22, -7, -23, -6, -23, -4, -24, -3, -26, -2, -27, -1, -27, 0, -29, 0, -30, 3, -32, 3, -31, 2]"
2025-06-13T02:47:11.961749,-62,11,11,0,128,635029,"[24, -128, 1, 0, -21, -8, -21, -5, -24, -8, -18, -4, -20, -6, -20, -5, -19, -3, -18, 0, -19, 0, -16, 1, -15, 1, -13, 1, -15, 2, -17, 3, -16, 4, -19, 2, -16, 2, -18, 0, -17, -2, -15, -2, -14, -2, -13, -4, -11, -4, -10, -4, -8, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -1, -11, -3, -12, -4, -12, -4, -15, -6, -12, -6, -16, -10, -15, -11, -15, -11, -13, -13, -12, -14, -12, -12, -10, -13, -11, -11, -10, -12, -13, -11, -14, -9, -17, -12, -14, -8, -18, -9, -19, -9, -19, -7, -21, -8, -20, -8, -20, -6, -20, -9]"
2025-06-13T02:47:11.980899,-62,11,11,0,128,680001,"[24, -128, 1, 0, -8, -22, -7, -17, -10, -22, -6, -15, -6, -17, -7, -17, -6, -16, -8, -14, -10, -15, -10, -11, -9, -11, -8, -11, -8, -12, -14, -12, -11, -10, -14, -13, -8, -11, -8, -13, -7, -14, -5, -13, -5, -13, -4, -12, -3, -10, -2, -10, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -9, -5, -9, -7, -10, -4, -10, -6, -13, -4, -11, -4, -16, -1, -16, -1, -18, 1, -18, 1, -16, 1, -15, 2, -15, 1, -15, 2, -14, -1, -17, -2, -15, -4, -19, -2, -14, -5, -18, -3, -18, -6, -19, -7, -20, -7, -18, -6, -18, -5, -19]"
